努力した者が全て報われるとは限らない しかし成功した者すべてが皆　努力しているんだ,バカボンド
人生、日々努力,先代木村庄之助
喧嘩に勝つのは一番多く殴る人じゃない、一番多く殴られても立ち直って挑む人だ,西ジェフィー
一つの道を究めようとすれば　必ず成功と失敗と問われる。 しかし…その道を歩む事にこそ 掛け替えのない　価値があるのだ,オキクルミ
積極的なミスも消極的なミスもミスはミス 初めてのミスも１００回目のミスもミスはミス 許されるミスなんて１つもないはずだ でも人はミスを許す時がある それは何故か？ ミスをした人間が大きくなるのを信じてるからだ,六瓢
安定は情熱を殺し苦悩・緊張こそが情熱を生む,フランス哲学者アラン
「毎日が楽しいなんて、 毎日楽しくないのと同じ」,TAKUYA∞
殺しているんだ、殺されもするさ,オールドキング
人間が神のしくじりなのか、神が人間のしくじりなのか、どっちだ。,ニーチェ
夢見ることがすべてじゃなくて、 叶えようとすることがすべて。,コブクロ
軍の行動によって生じた問題の責任は　それを命じた者だけが負う 命じられた者では決して　ない,新城直衛
やな事の方が目立つだけさ 雨の日の方が目立つだけさ たくさんあるから 晴れの日が 目立たないだけさ,中村みつる
俺はスーパーマンじゃないから世界中の人を守るなんてデケーことは言えねぇけど 両手で抱えられるでけの人を守れればいい・なんて言えるほど 控え目な人間でもねぇんだ 俺は 山ほどの人を守りてぇんだ。,黒崎一護
人生とは人が生きる事だが 人間とは人と人には間がある事。 人間は最後まで通じあえない。,野村克也
俺の前に道はない。 俺の後ろに道ができる,藤原基央 [BUMP OF CHICKEN]
崩すのは簡単だ、崩したものを作り上げるのは、とても難しい。,イビチャ・オシム
後ろを振り返らず。前へ進み続けよう 私たちは好奇心にあふれている。 好奇心こそ新しい世界への道しるべだ。,ウォルトディズニー
悪になるのは大変だ。正義の味方になる方がよっぽど楽だ,ケンヂ
考えてばかりじゃ駄目だって。  動いてこそ見えてくるものがあるんだって。  状況は変わらないかもしれないけれど、  それを見る目が変わるかもしれない,巧
成功者になろうとするのではなく、価値のある人間になろうとしなさい。,松下 幸之助
